,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Bodegas,Departamentos por piso,Orientación,Número de piso de la unidad,Cantidad de pisos
212,Amoblado 4 Dormitorios Colegio Alemán,Departamento,Publicado hace 1 día,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.500.000,,"0,35 UF/m²","0,28 UF/m²",146 m²,136 m²,4,3,2,176000 CLP,,,,,,
213,Arege,Departamento,Publicado hace 1 día,2021-07-01,"Enrique Foster 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",2.000.000,,"0,28 UF/m²","0,26 UF/m²",240 m²,220 m²,3,3,2,,,,,,,
214,Agzgrg,Departamento,Publicado hace 1 día,2021-07-01,"Saturno 5700 - 6000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.900.000,,"0,43 UF/m²","0,28 UF/m²",150 m²,130 m²,3,3,1,,,,,,,
215,"Expats Properties, Amoblado, Moderno, Metro Alcantara",Departamento,Publicado hace 1 día,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,48 UF/m²","0,37 UF/m²",60 m²,50 m²,1,1,1,,,,,,,
216,"Expats Properties, Amoblado, Metro Alcantara, Buena Vista ",Departamento,Publicado hace 1 día,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,5 UF/m²","0,37 UF/m²",57 m²,45 m²,1,1,1,,,,,,,
217,"Expats Properties Amoblado, Vista, Metro El Golf",Departamento,Publicado hace 1 día,2021-07-01,"Callao 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",900.000,,"0,37 UF/m²","0,33 UF/m²",81 m²,75 m²,2,2,1,117000 CLP,,,,,,
218,"Expats Properties, Amoblado De Calidad, Metro Alcantara",Departamento,Publicado hace 1 día,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,34 UF/m²","0,29 UF/m²",160 m²,146 m²,4,4,1,,,,,,,
219,"Expats Properties, Amoblado, Metro Alcantara, Moderno",Departamento,Publicado hace 1 día,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",875.000,,"0,52 UF/m²","0,37 UF/m²",57 m²,45 m²,1,1,1,,2 años,,,,,
220,Piso Alto- Amoblado- Exclusivo Edificio- Expats,Departamento,Publicado hace 1 día,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",2.040.000,,"0,5 UF/m²","0,28 UF/m²",138 m²,124 m²,3,3,2,,,,,,,
221,Amoblado- Moderno- Metro Alsacia- Expats- El Golf,Departamento,Publicado hace 1 día,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.730.000,,"0,55 UF/m²","0,33 UF/m²",105 m²,91 m²,2,2,1,,,,,,,
222,"Clásico, Amplio,3 Dorm.+ Serv., 2 Estac.,plaza Perú, El",Departamento,Publicado hace 1 día,2021-07-01,"Isidora Goyenechea 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",950.000,,"0,18 UF/m²","0,26 UF/m²",180 m²,150 m²,3,3,2,,,,,,,
223,El Golf 3d + Servicio Gran Terraza,Departamento,Publicado hace 1 día,2021-07-01,"Napoleón 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,27 UF/m²","0,26 UF/m²",185 m²,160 m²,4,3,1,180000 CLP,,,,,,
224,Metro Escuela 1d,Departamento,Publicado hace 1 día,2021-07-01,"Evaristo Lillo 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",440.000,,"0,33 UF/m²","0,37 UF/m²",45 m²,40 m²,1,1,1,90000 CLP,,,,,,
225,Las Condes 1d ,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Las Condes 12300 - 12600, Mall Sport, Las Condes, RM (Metropolitana)",473.000,,"0,35 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,1,80000 CLP,,,,,,
226,Cerro Colorado / Vista Párque Araucano/ Amoblado,Departamento,Publicado hace 1 día,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",24,713.107,"0,49 UF/m²","0,37 UF/m²",49 m²,39 m²,1,1,1,110000 CLP,,,,,,
227,San Sebastian / El Bosque Nt. (el Golf),Departamento,Publicado hace 1 día,2021-07-01,"San Sebastián 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",690.000,,"0,34 UF/m²","0,33 UF/m²",69 m²,62 m²,2,2,1,,,,,,,
228,Hermoso Departamento Cerca Del Metro El Golf ,Departamento,Publicado hace 1 día,2021-07-01,"Versalles 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.000.000,,"0,2 UF/m²","0,26 UF/m²",170 m²,170 m²,4,3,,,,,,,,
229,Colegios / Mejor Barrio / El Golf,Departamento,Publicado hace 1 día,2021-07-01,"Málaga 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.500.000,,"0,2 UF/m²","0,24 UF/m²",255 m²,200 m²,4,4,2,,,,,,,
230,"La Gloria, Muy Iluminado!",Departamento,Publicado hace 1 día,2021-07-01,"La Gloria 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",550.000,,"0,33 UF/m²","0,41 UF/m²",56 m²,56 m²,2,2,1,,,,,,,
231,Geronimo De Alderete/ Lateral Kennedy,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Presidente Kennedy 6300 - 6600, Parque Arauco, Las Condes, RM (Metropolitana)",650.000,,"0,29 UF/m²","0,33 UF/m²",75 m²,70 m²,2,2,2,,,,,,,
232,Departamento En Arriendo / Presidente Errázuriz/ Alcántara,Departamento,,2021-07-01,"Alcántara 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,28 UF/m²","0,26 UF/m²",189 m²,159 m²,4,3,2,250000 CLP,,,,,,
233,Arriendo Depto Amoblado En Calle Lospozos Las Condes,Departamento,Publicado hace 1 día,2021-07-01,"Los Pozos 681 - 300 - Departamento 1 - 300, Rotonda Atenas, Las Condes, RM (Metropolitana)",850.000,,"0,29 UF/m²","0,29 UF/m²",97 m²,97 m²,3,2,,100000 CLP,,,,,,
234,Departamento Amoblado / Metro Manquehue / Apoquindo,Departamento,,2021-07-01,"Rosario Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.890.000,,"0,37 UF/m²","0,26 UF/m²",171 m²,139 m²,3,3,2,250000 CLP,3 años,,,,,
235,Cercano Rotonda Atenas,Departamento,Publicado hace 1 día,2021-07-01,"Los Pozos 6600 - 6900, Rotonda Atenas, Las Condes, RM (Metropolitana)",750.000,,"0,26 UF/m²","0,29 UF/m²",96 m²,90 m²,3,2,1,90000 CLP,,,,,,
236,Arriendo A Pasos De Apoquindo,Departamento,Publicado hace 1 día,2021-07-01,"Augusto Leguía Norte 44, Barrio El Golf, Las Condes, RM (Metropolitana)",700.000,,"0,16 UF/m²","0,28 UF/m²",143 m²,118 m²,4,3,1,,,,,,,
237,Noruega - Los Militares,Departamento,Publicado hace 1 día,2021-07-01,"Noruega 6600 - 6900, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.150.000,,"0,23 UF/m²","0,26 UF/m²",170 m²,136 m²,4,3,,400000 CLP,,,,,,
238,"Los Militares, 2 Estacionamientos!!!",Departamento,Publicado hace 1 día,2021-07-01,"Los Militares 2700 - 3000, Metro Escuela Militar, Las Condes, RM (Metropolitana)",900.000,,"0,28 UF/m²",,110 m²,110 m²,3,2,,,,,,,,
239,Metro // Full Amoblado,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",500.000,,"0,4 UF/m²","0,37 UF/m²",42 m²,35 m²,1,1,1,,,,,,,
240,Metro // Full Amoblado,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",500.000,,"0,4 UF/m²","0,37 UF/m²",42 m²,35 m²,1,1,1,,,,,,,
241,Se Arrienda Dpto. A Pasos De Apumanque,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",16,475.405,"0,35 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,,,,,,,
242,El Golf - Departamento - 3 Dormitorios Con Amplia Terraza,Departamento,Publicado hace 1 día,2021-07-01,"El Dante 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.250.000,,"0,32 UF/m²","0,29 UF/m²",132 m²,100 m²,3,2,2,,,,,,,
243,Luminoso!! Con Vista Panoramica Hacia El Norte,Departamento,Publicado hace 1 día,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",890.000,,"0,5 UF/m²","0,37 UF/m²",60 m²,50 m²,1,1,1,,,,,,,
244,Depto Nuevo / Puerto Caldera / Hermanos Cabbot / Rollers,Departamento,Publicado hace 1 día,2021-07-01,"Puerto Caldera 6600 - 6900, Parque Arauco, Las Condes, RM (Metropolitana)",40,1.202.477,"0,29 UF/m²","0,28 UF/m²",140 m²,120 m²,3,3,2,,,,,,,
245,A Pasos Del Mall Alto Las Condes,Departamento,Publicado hace 1 día,2021-07-01,"Las Verbenas 8400 - 8700, Alto Las Condes, Las Condes, RM (Metropolitana)",420.000,,"0,46 UF/m²","0,37 UF/m²",31 m²,31 m²,1,1,1,,,,,,,
246,A Pasos Del Mall Alto Las Condes,Departamento,Publicado hace 1 día,2021-07-01,"Las Verbenas 8400 - 8700, Alto Las Condes, Las Condes, RM (Metropolitana)",420.000,,"0,46 UF/m²","0,37 UF/m²",31 m²,31 m²,1,1,1,,,,,,,
247,Metro Manquehue ,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Manquehue Sur 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",480.000,,"0,25 UF/m²","0,33 UF/m²",65 m²,65 m²,2,2,1,,,,,,,
248,Sector Los Trapenses,Departamento,Publicado hace 10 meses,2021-07-01,"Sector Los Trapenses, Los Trapenses, Lo Barnechea, RM (Metropolitana)",2.800.000,,"0,35 UF/m²",,270 m²,140 m²,4,5,,,,,,,,
249,Comandante Malbec/ Portal La Dehesa,Departamento,Publicado hace 2 años,2021-07-01,"Comandante Malbec 12600 - 12900, La Dehesa, Lo Barnechea, RM (Metropolitana)",70,2.079.896,"0,45 UF/m²",,155 m²,120 m²,2,3,2,,,,,,,
250,Los Cactus,Departamento,Publicado hace 2 años,2021-07-01,"Los Cactus, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.500.000,,"0,32 UF/m²",,265 m²,230 m²,4,4,,,,,,,,
251,A 5min Del Club Ecuestre,Departamento,Publicado hace 2 meses,2021-07-01,"A 5min Del Club Ecuestre, La Dehesa, Lo Barnechea, RM (Metropolitana)",900.000,,"0,32 UF/m²",,94 m²,86 m²,3,2,,,,,,,,
252,Los Refugios Del Arrayan / El Remanso,Departamento,Publicado hace 1 año,2021-07-01,"Los Refugios Del Arrayan / El Remanso, El Arrayán, Lo Barnechea, RM (Metropolitana)",390.000,,"0,27 UF/m²",,48 m²,48 m²,1,2,1,,,,,,,
253,Av. El Tranque,Departamento,Publicado hace 2 años,2021-07-01,"Av. El Tranque, La Dehesa, Lo Barnechea, RM (Metropolitana)",29,861.671,"0,43 UF/m²","0,31 UF/m²",67 m²,61 m²,2,2,,,,,,,,
254,Avenida El Tranque / Robles,Departamento,Publicado hace 1 año,2021-07-01,"Avenida El Tranque / Robles, La Dehesa, Lo Barnechea, RM (Metropolitana)",720.000,,"0,36 UF/m²","0,31 UF/m²",67 m²,62 m²,2,2,,,,,,,,
255,Mall Portal La Dehesa Amoblado,Departamento,Publicado hace 1 año,2021-07-01,"Mall Portal La Dehesa Amoblado, La Dehesa, Lo Barnechea, RM (Metropolitana)",79,2.347.311,"0,44 UF/m²",,180 m²,149 m²,3,3,,,,,,,,
256,Comandante Malbec,Departamento,Publicado hace 1 año,2021-07-01,"Comandante Malbec, La Dehesa, Lo Barnechea, RM (Metropolitana)",65,1.931.332,"0,42 UF/m²",,155.5 m²,130.3 m²,2,3,,,,,,,,
257,Comandante Malbec,Departamento,Publicado hace 1 año,2021-07-01,"Comandante Malbec, La Dehesa, Lo Barnechea, RM (Metropolitana)",65,1.931.332,"0,42 UF/m²",,155.5 m²,130.3 m²,2,3,,,,,,,,
258,El Gabino Nuevo Town House,Departamento,Publicado hace 1 año,2021-07-01,"El Gabino Nuevo Town House, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.200.000,,"0,37 UF/m²",,201.16 m²,139.41 m²,4,4,,,,,,,,
259,Valle Escondido-club Golf,Departamento,Publicado hace 1 año,2021-07-01,"Valle Escondido-club Golf, Valle Escondido, Lo Barnechea, RM (Metropolitana)",89,2.644.439,"0,28 UF/m²",,320 m²,300 m²,4,4,,,,,,,,
260,Santa Teresita Lo Curro,Departamento,Publicado hace 1 año,2021-07-01,"Santa Teresita Lo Curro, Lo Curro, Vitacura, RM (Metropolitana)",109,3.238.695,"0,34 UF/m²",,320 m²,250 m²,2,2,,,,,,,,
261,Santa Teresita Lo Curro,Departamento,Publicado hace 1 año,2021-07-01,"Santa Teresita Lo Curro, Lo Curro, Vitacura, RM (Metropolitana)",109,3.238.695,"0,34 UF/m²",,320 m²,250 m²,2,2,,,,,,,,
262,El Gabino,Departamento,Publicado hace 1 año,2021-07-01,"El Gabino, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.500.000,,"0,29 UF/m²",,173 m²,160 m²,4,4,,,,,,,,
263,Av. El Tranque / Av. La Dehesa,Departamento,Publicado hace 1 año,2021-07-01,"Av. El Tranque / Av. La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.000.000,,"0,3 UF/m²",,113 m²,94 m²,1,2,,,,,,,,
264,Cerro Pan De Azúcar,Departamento,Publicado hace 10 meses,2021-07-01,"Cerro Pan De Azúcar, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.600.000,,"0,33 UF/m²",,371 m²,257 m²,4,5,,538000 CLP,,,,,,
265,Departamento Amoblado Cerca Mall La Dehesa,Departamento,Publicado hace 1 año,2021-07-01,"Avenida El Tranque 11500, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.000.000,,"0,38 UF/m²",,175 m²,160 m²,4,4,2,350000 CLP,,,,,,
266,Impecable Y Gran Departamento  Avda El Tranque,Departamento,Publicado hace 1 año,2021-07-01,"Avenida El Tranque 12544, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.200.000,,"0,25 UF/m²",,294 m²,226 m²,4,4,4,800000 CLP,,,,,,
267,Departamento Amoblado 2 Dormitorios,Departamento,Publicado hace 1 año,2021-07-01,"Departamento Amoblado 2 Dormitorios, Puente Nuevo, Lo Barnechea, RM (Metropolitana)",800.000,,"0,34 UF/m²","0,31 UF/m²",80 m²,80 m²,2,2,,,,,,,,
268,***las Condes / Canta Gallo / Francisco De Asis / Amobla...,Departamento,Publicado hace 1 año,2021-07-01,"***las Condes / Canta Gallo / Francisco De Asis / Amoblado / Desocupado /  Frente Universidad Udd***, Lo Barnechea, RM (Metropolitana)",690.000,,"0,28 UF/m²","0,31 UF/m²",82 m²,72 m²,2,2,,,,,,,,
269,Alberto Le Blanc 1780,Departamento,Publicado hace 9 meses,2021-07-01,"Alberto Le Blanc 1780, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.500.000,,"0,26 UF/m²",,196 m²,160 m²,3,2,2,200000 CLP,,,,,,
270,El Golf De Manquehue 9225,Departamento,Publicado hace 1 año,2021-07-01,"El Golf De Manquehue 9225, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,36 UF/m²",,308 m²,250 m²,5,5,3,650000 CLP,,,,,,
271,Vista El Valle | La Dehesa,Departamento,Publicado hace 1 año,2021-07-01,"Vista El Valle | La Dehesa, El Huinganal, Lo Barnechea, RM (Metropolitana)",98,2.911.854,"0,32 UF/m²",,308 m²,231 m²,3,4,3,440000 CLP,,,,,,
272,Raimundo Larraín 10009,Departamento,Publicado hace 1 año,2021-07-01,"Raimundo Larraín 10009, Lo Curro, Vitacura, RM (Metropolitana)",4.200.000,,"0,36 UF/m²",,390 m²,360 m²,4,5,2,700000 CLP,,,,,,
273,La Dehesa - Moderno Amoblado,Departamento,Publicado hace 59 días,2021-07-01,"La Dehesa - Moderno Amoblado, La Dehesa, Lo Barnechea, RM (Metropolitana)",87,2.585.013,"0,48 UF/m²",,180 m²,150 m²,3,4,2,250000 CLP,,,,,,
274,Hermoso - Shopping Portal La Dehesa Amoblado,Departamento,Publicado hace 58 días,2021-07-01,"Hermoso - Shopping Portal La Dehesa Amoblado, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.700.000,,"0,37 UF/m²",,155 m²,130 m²,2,3,2,150000 CLP,,,,,,
275,El Tranque / Robles / Nuevo,Departamento,Publicado hace 11 meses,2021-07-01,"El Tranque / Robles / Nuevo, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.800.000,,"0,39 UF/m²",,155 m²,140 m²,3,2,2,,,,,,,
276,Portal La Dehesa *** Amoblado ***,Departamento,Publicado hace 42 días,2021-07-01,"Portal La Dehesa *** Amoblado ***, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.800.000,,"0,4 UF/m²",,150 m²,125 m²,2,3,2,,,,,,,
277,Excelente Departamento De 2 Dormitorio Cerca De Portal L...,Departamento,Publicado hace 4 meses,2021-07-01,"Excelente Departamento De 2 Dormitorio Cerca De Portal La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.700.000,,"0,38 UF/m²",,150 m²,125 m²,2,3,2,,,,,,,
278,Arrienda Amoblado ,Departamento,Publicado hace 11 meses,2021-07-01,"Camino Del Atardecer 14693, El Huinganal, Lo Barnechea, RM (Metropolitana)",1.400.000,,"0,29 UF/m²",,160 m²,130 m²,3,4,1,,,,,,,
279,Triplex / Mall Vivo Los Trapenses,Departamento,Publicado hace 10 meses,2021-07-01,"Triplex / Mall Vivo Los Trapenses, Los Trapenses, Lo Barnechea, RM (Metropolitana)",7.900.000,,"0,42 UF/m²",,633 m²,396 m²,5,6,4,,,,,,,
280,"Departamento Amoblado, La Dehesa Central, Colegio Los Al...",Departamento,Publicado hace 8 meses,2021-07-01,"Departamento Amoblado, La Dehesa Central, Colegio Los Alerces, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.800.000,,"0,34 UF/m²",,176 m²,136 m²,3,3,2,,,,,,,
281,"La Dehesa Central, Colegio Los Alerces",Departamento,Publicado hace 7 meses,2021-07-01,"La Dehesa Central, Colegio Los Alerces, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.600.000,,"0,31 UF/m²",,176 m²,136 m²,3,3,2,,,,,,,
282,Condominio Valle Escondido - Club De Golf-,Departamento,Publicado hace 7 meses,2021-07-01,"Condominio Valle Escondido - Club De Golf-, Valle Escondido, Lo Barnechea, RM (Metropolitana)",2.700.000,,"0,27 UF/m²",,340 m²,290 m²,3,5,4,650000 CLP,,,,,,
283,Raul Labbe / La Dehesa,Departamento,Publicado hace 5 meses,2021-07-01,"Raul Labbe / La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",75,2.228.460,"0,42 UF/m²",,180 m²,180 m²,4,3,2,,,,,,,
284,La Dehesa Central,Departamento,Publicado hace 5 meses,2021-07-01,"La Dehesa Central, La Dehesa, Lo Barnechea, RM (Metropolitana)",58,1.738.199,"0,42 UF/m²",,140 m²,140 m²,4,4,2,,,,,,,
285,*** Colegio Los Alerces ***,Departamento,Publicado hace 42 días,2021-07-01,"*** Colegio Los Alerces ***, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.500.000,,"0,32 UF/m²",,156 m²,140 m²,3,3,2,,,,,,,
286,Estero De Las Rosas / La Dehesa,Departamento,Publicado hace 5 meses,2021-07-01,"Estero De Las Rosas / La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",200,5.942.559,"0,37 UF/m²",,538 m²,315 m²,3,4,6,,,,,,,
287,Venta De Departamento Con Jardin Con Fantasticas Vistas,Departamento,Publicado hace 4 meses,2021-07-01,"Camino Del Yunque 14100 - 14400, El Huinganal, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,38 UF/m²",,310 m²,235 m²,3,3,3,,,,,,,
288,El Radal / Av. Raúl Labbe,Departamento,Publicado hace 37 días,2021-07-01,"El Radal / Av. Raúl Labbe, La Dehesa, Lo Barnechea, RM (Metropolitana)",58,1.723.342,"0,41 UF/m²",,140 m²,120 m²,4,4,2,,,,,,,
289, Moderno Triplex 4d+ Servicios/ Jardin Privado/ Tranquilidad,Departamento,Publicado hace 5 meses,2021-07-01,"Valle Escondido 5100 - 5400, El Arrayán, Lo Barnechea, RM (Metropolitana)",86,2.555.301,"0,25 UF/m²",,340 m²,280 m²,5,5,2,,,,,,,
290,Av. La Dehesa / Raúl Labbe,Departamento,Publicado hace 5 meses,2021-07-01,"Av. La Dehesa / Raúl Labbe, La Dehesa, Lo Barnechea, RM (Metropolitana)",49,1.455.927,"0,27 UF/m²",,184 m²,138 m²,3,2,2,260000 CLP,,,,,,
291,Camino La Huerta / Cam Cielo,Departamento,Publicado hace 5 meses,2021-07-01,"Camino La Huerta / Cam Cielo, Los Trapenses, Lo Barnechea, RM (Metropolitana)",90,2.674.152,"0,38 UF/m²",,240 m²,200 m²,4,4,4,,,,,,,
292,Departamento Duplex Con Espectacular Vista  A La Cordillera!,Departamento,Publicado hace 5 meses,2021-07-01,"Camino De La Huerta 3900 - 4200, Los Trapenses, Lo Barnechea, RM (Metropolitana)",78,2.317.598,"0,33 UF/m²",,240 m²,200 m²,4,4,4,,,,,,,
293,El Huinganal | La Dehesa,Departamento,Publicado hace 4 meses,2021-07-01,"El Huinganal | La Dehesa, El Huinganal, Lo Barnechea, RM (Metropolitana)",120,3.565.536,"0,39 UF/m²",,305 m²,235 m²,3,3,3,,,,,,,
294,*** Portal La Dehesa ***,Departamento,Publicado hace 42 días,2021-07-01,"*** Portal La Dehesa ***, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.500.000,,"0,32 UF/m²",,160 m²,140 m²,3,3,2,,,,,,,
295,Precioso Departamento De 3 Dormitorios Cerca De Portal L...,Departamento,Publicado hace 4 meses,2021-07-01,"Precioso Departamento De 3 Dormitorios Cerca De Portal La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.350.000,,"0,44 UF/m²",,180 m²,149 m²,4,3,2,,,,,,,
296,Exclusivo Departamento En Valle Escondido,Departamento,Publicado hace 4 meses,2021-07-01,"Exclusivo Departamento En Valle Escondido, Valle Escondido, Lo Barnechea, RM (Metropolitana)",2.500.000,,"0,25 UF/m²",,340 m²,280 m²,5,6,2,,,,,,,
297,La Dehesa,Departamento,Publicado hace 4 meses,2021-07-01,"La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",43,1.277.650,"0,22 UF/m²",,200 m²,160 m²,3,2,2,150000 CLP,,,,,,
298,Impecable Y Amplio Departamento En Arriendo 3 D + Serv ,Departamento,Publicado hace 3 meses,2021-07-01,"El Taihuen 12300 - 12600, La Dehesa, Lo Barnechea, RM (Metropolitana)",58,1.723.342,"0,32 UF/m²",,180 m²,140 m²,4,4,2,,,,,,,
299,San José De La Sierra / Av. Las Condes,Departamento,Publicado hace 3 meses,2021-07-01,"San José De La Sierra 000, Plaza San Enrique, Lo Barnechea, RM (Metropolitana)",1.650.000,,"0,2 UF/m²",,275 m²,103 m²,3,2,2,250000 CLP,,,,,,
300,Colegio Dunalastair,Departamento,Publicado hace 3 meses,2021-07-01,"Camino Turístico 11700 - 12000, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.700,1.964.952,"0,41 UF/m²",,161 m²,133 m²,4,4,2,,,,,,,
301,Camino Del Yunque / Colegio Nido De Aguilas,Departamento,Publicado hace 3 meses,2021-07-01,"Camino Del Yunque / Colegio Nido De Aguilas, El Huinganal, Lo Barnechea, RM (Metropolitana)",3.000.000,,"0,32 UF/m²",,312 m²,235 m²,4,4,3,450000 CLP,,,,,,
302,Estupendo Gran Depto Exclusivo Condominio (solo 9 Deptos...,Departamento,Publicado hace 3 meses,2021-07-01,"Estupendo Gran Depto Exclusivo Condominio (solo 9 Deptos), El Tranque, La Dehesa, 4 D / 4 B, 234m2 Hermosas Areas Verdes, Piscina, Etc, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.780.000,,"0,24 UF/m²",,249 m²,234 m²,4,4,2,,,,,,,
303,*** Portal La Dehesa *** Vista Despejada ***,Departamento,Publicado hace 42 días,2021-07-01,"*** Portal La Dehesa *** Vista Despejada ***, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.700.000,,"0,36 UF/m²",,160 m²,140 m²,3,3,2,,,,,,,
304,Gran Vista *** Valle Monasterio ***,Departamento,Publicado hace 42 días,2021-07-01,"Gran Vista *** Valle Monasterio ***, Los Trapenses, Lo Barnechea, RM (Metropolitana)",2.590.000,,"0,42 UF/m²",,210 m²,180 m²,3,3,2,,,,,,,
305,Mall Portal La Dehesa,Departamento,Publicado hace 2 meses,2021-07-01,"Mall Portal La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",79,2.347.311,"0,45 UF/m²",,174.5 m²,149 m²,3,3,2,180000 CLP,,,,,,
306,Av. La Dehesa / Raul Labbe,Departamento,Publicado hace 2 meses,2021-07-01,"Av. La Dehesa / Raul Labbe, La Dehesa, Lo Barnechea, RM (Metropolitana)",49,1.455.927,"0,28 UF/m²",,175 m²,138 m²,3,3,,,,,,,,
307,Acogedor Refugio El Colorado Salida Directa Canchas!!,Departamento,Publicado hace 2 meses,2021-07-01,"Acogedor Refugio El Colorado Salida Directa Canchas!!, Centros Invernales, Lo Barnechea, RM (Metropolitana)",250.000,,"0,11 UF/m²",,80 m²,80 m²,2,1,,,,,,,,
308,"Arriendo Luminoso Departamento, Amoblado, Los Trapenses ...",Departamento,Publicado hace 2 meses,2021-07-01,"Arriendo Luminoso Departamento, Amoblado, Los Trapenses - Barnechea, Los Trapenses, Lo Barnechea, RM (Metropolitana)",2.590.000,,"0,42 UF/m²",,210 m²,180 m²,3,2,2,,,,,,,
309,Departamento En Arriendo ,Departamento,Publicado hace 2 meses,2021-07-01,"Comandante Malbec 12871, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.500.000,,"0,36 UF/m²",,140 m²,140 m²,4,4,2,,,,,,,
310,Robles  / El Tranque,Departamento,Publicado hace 2 meses,2021-07-01,"Robles  / El Tranque, La Dehesa, Lo Barnechea, RM (Metropolitana)",85,2.525.588,"0,4 UF/m²",,214 m²,187 m²,4,4,2,380000 CLP,,,,,,
311,Espectacular Departamento A Estrenar - Edificio De,Departamento,Publicado hace 2 meses,2021-07-01,"Espectacular Departamento A Estrenar - Edificio De Categoría, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.000.000,,"0,48 UF/m²",,141 m²,131 m²,3,3,2,,,,,,,
312,Espectacular Departamento Con Vistas En Venta En Lo Barn...,Departamento,Publicado hace 2 meses,2021-07-01,"Espectacular Departamento Con Vistas En Venta En Lo Barnechea, Lo Curro, Vitacura, RM (Metropolitana)",75,2.228.460,"0,27 UF/m²",,274 m²,236 m²,3,4,3,,,,,,,
