,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Cantidad de pisos,Ambientes,Bodegas,Orientación
263,Preciosa Casa En Arriendo En El Condominio La Llavería,Casa,Publicado hace 38 días,2021-07-01,"La Huala 4800 - 5100, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,07 UF/m²",,1500 m²,300 m²,4,4,2,,,,,,
264,Excelente Casa,Casa,Publicado hace 37 días,2021-07-01,"Valle Paraíso 10500 - 10800, Los Trapenses, Lo Barnechea, RM (Metropolitana)",110,3.268.408,"0,14 UF/m²","0,14 UF/m²",800 m²,300 m²,4,3,3,,,,,,
265,Casa En Un Verdadero Oasis A Pocos Minutos De Lo Barnechea,Casa,Publicado hace 36 días,2021-07-01,"Camino Antiguo A Farellones 20700 - 21000, Camino a Farellones, Lo Barnechea, RM (Metropolitana)",170,5.051.176,"0,02 UF/m²","0,11 UF/m²",8000 m²,350 m²,6,4,8,,,,,,
266,Casa Condominio-santiago College-monte Tabor-,Casa,Publicado hace 35 días,2021-07-01,"Camino Las Hualtatas 4800 - 5100, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,16 UF/m²","0,15 UF/m²",700 m²,250 m²,6,4,2,140000 CLP,,,,,
267,Espectacular Casa En Arriendo El Arrayan! La Casa Esta Top!,Casa,Publicado hace 32 días,2021-07-01,"Camino El Cajón 16500 - 16800, El Arrayán, Lo Barnechea, RM (Metropolitana)",2.350.000,,"0,11 UF/m²","0,14 UF/m²",707 m²,208 m²,4,3,2,,,,,,
268,Bella Casa Excelentes Condiciones Insertada En Naturaleza!,Casa,Publicado hace 32 días,2021-07-01,"Camino A Farellones 19800 - 20100, Camino a Farellones, Lo Barnechea, RM (Metropolitana)",200,5.942.559,"0,03 UF/m²","0,11 UF/m²",8000 m²,350 m²,6,5,4,,,,,,
269,Casa Mediterranea Club De Golf Lomas De La Dehesa,Casa,Publicado hace 30 días,2021-07-01,"Golf Lomas De La Dehesa 9900 - 10200, La Dehesa, Lo Barnechea, RM (Metropolitana)",6.000.000,,"0,16 UF/m²","0,11 UF/m²",1297 m²,425 m²,6,5,3,200000 CLP,,,,,
270,Mediterránea Sector Punta De Águila / El Golf De Manquehue,Casa,Publicado hace 30 días,2021-07-01,"Copahue 4223, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,12 UF/m²","0,16 UF/m²",1000 m²,700 m²,6,7,6,,,,,,
271,Excelente Casa En Exclusivo Condominio,Casa,Publicado hace 24 días,2021-07-01,"Paseo Colina Sur 13800 - 14100, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,1 UF/m²",1000 m²,323 m²,5,4,4,,,,,,
272,Muy Buena Casa En Plaza Cercana A Colegios. ,Casa,Publicado hace 23 días,2021-07-01,"Plaza Del Claustro 3900 - 4200, Los Trapenses, Lo Barnechea, RM (Metropolitana)",2.200.000,,"0,09 UF/m²","0,15 UF/m²",800 m²,210 m²,4,4,3,,,,,,
273,Casa Condominio Los Litres  Modelo Candelaria No Perimetral ,Casa,Publicado hace 23 días,2021-07-01,"Avenida Los Litres 1500 - 1800, Los Trapenses, Lo Barnechea, RM (Metropolitana)",100,2.971.280,"0,11 UF/m²","0,15 UF/m²",927 m²,300 m²,5,5,3,150000 CLP,,,,,
274,Casa Amoblada En Condominio Av. Los Litres No Perimetral,Casa,Publicado hace 23 días,2021-07-01,"Avenida Los Litres 1500 - 1800, Los Trapenses, Lo Barnechea, RM (Metropolitana)",118,3.506.110,"0,13 UF/m²","0,15 UF/m²",927 m²,300 m²,5,5,3,150000 CLP,,,,,
275,Impresionante Casa Mediterránea En Venta  En Valle,Casa,Publicado hace 21 días,2021-07-01,"Valle Escondido 1 - 300, Valle Escondido, Lo Barnechea, RM (Metropolitana)",8.500.000,,"0,15 UF/m²","0,11 UF/m²",1930 m²,946 m²,6,7,5,,,,,,
276,Condominio No Perimetral / Los Frailes,Casa,Publicado hace 20 días,2021-07-01,"Camino Las Hualtatas 4949, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,16 UF/m²","0,15 UF/m²",700 m²,250 m²,7,5,3,,,,,,
277,Casa En Condominio-4 Dormitorios /gated Community-4 Bedrooms,Casa,Publicado hace 20 días,2021-07-01,"Camino Real 6300 - 6600, Los Trapenses, Lo Barnechea, RM (Metropolitana)",100,2.971.280,"0,13 UF/m²","0,14 UF/m²",800 m²,280 m²,4,3,2,,,,,,
278,Amplia Y Linda Casa Diseñada Por La Arquitecto Mirene Perez,Casa,Publicado hace 19 días,2021-07-01,"Santa Blanca 1200 - 1500, La Dehesa, Lo Barnechea, RM (Metropolitana)",3.190.000,,"0,1 UF/m²","0,11 UF/m²",1100 m²,320 m²,5,4,5,,,,,,
279,"Golf Lomas, Vistas Panoramicas, Full Arquitectura",Casa,Publicado hace 18 días,2021-07-01,"Cerro La Paloma 11100 - 11400, La Dehesa, Lo Barnechea, RM (Metropolitana)",110,3.268.408,"0,09 UF/m²",,1200 m²,292 m²,3,3,4,190000 CLP,,,,,
280,Condominio // Santiago College,Casa,Publicado hace 17 días,2021-07-01,"La Represa 1 - 300, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,16 UF/m²","0,15 UF/m²",700 m²,250 m²,6,5,3,,,,,,
281,Preciosa Casa Mediterranea A Pasos De Colegio Los Alerces ,Casa,Publicado hace 16 días,2021-07-01,"El Raudal 900 - 1200, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.300.000,,"0,22 UF/m²",,350 m²,245 m²,4,4,2,,,,,,
282,Los Litres - Impecable ,Casa,Publicado hace 16 días,2021-07-01,"Avenida Los Litres 1500 - 1800, Los Trapenses, Lo Barnechea, RM (Metropolitana)",100,2.971.280,"0,11 UF/m²","0,14 UF/m²",937 m²,300 m²,4,3,3,,,,,,
283,"Seguridad, Vistas E Interior En Condominio",Casa,Publicado hace 14 días,2021-07-01,"La Huala 4800 - 5100, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,07 UF/m²",,1500 m²,300 m²,5,4,,,,,,,
284,Casona Valle Escondido,Casa,Publicado hace 14 días,2021-07-01,"Casona Valle Escondido, La Dehesa, Lo Barnechea, RM (Metropolitana)",4.800.000,,"0,08 UF/m²","0,11 UF/m²",2050 m²,550 m²,7,7,,,,,,,
285,Renovado Y Luminoso Bungalow Portal La Dehesa,Casa,Publicado hace 10 días,2021-07-01,"Padre Alfredo Arteaga Barros 1500 - 1800, Antigua Lo Barnechea, Lo Barnechea, RM (Metropolitana)",1.400.000,,"0,15 UF/m²",,313 m²,120 m²,4,3,2,,,,,,
286,Excelente Casa Mediterránea En Arriendo En Lo Barnechea,Casa,Publicado hace 9 días,2021-07-01,"Valle Paraíso 10500 - 10800, La Dehesa, Lo Barnechea, RM (Metropolitana)",3.200.000,,"0,14 UF/m²","0,14 UF/m²",800 m²,300 m²,5,3,2,,,,,,
287,"Impecable Casa, Seguridad, Rico Jardín Con Piscina",Casa,Publicado hace 9 días,2021-07-01,"Parque Norte 11700 - 12000, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.650.000,,"0,12 UF/m²",,462 m²,140 m²,4,3,4,,,,,,
288,Linda Casa Con Gran Vista En Club De Golf Lomas De La Dehesa,Casa,Publicado hace 9 días,2021-07-01,"Cerro Cortadera 9600 - 9900, La Dehesa, Lo Barnechea, RM (Metropolitana)",128,3.803.238,"0,12 UF/m²","0,11 UF/m²",1030 m²,504 m²,6,7,2,190000 CLP,,,,,
289,Excelente Casa Mediterránea En Arriendo En Condominio,Casa,Publicado hace 8 días,2021-07-01,"Avenida La Dehesa 4200 - 4500, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.800.000,,"0,14 UF/m²","0,14 UF/m²",675 m²,267 m²,4,3,3,,,,,,
290,Casa Mediterranea En Condominio- Santiago College-,Casa,Publicado hace 8 días,2021-07-01,"Camino Las Hualtatas 0000 - Casa 109, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.000.000,,"0,14 UF/m²","0,15 UF/m²",750 m²,250 m²,4,4,2,,,,,,
291,"Preciosa  Casa, En Excelente Estado, Con Hermosa Vista",Casa,Publicado hace 7 días,2021-07-01,"Paseo Pie Andino 9600 - 9900, La Dehesa, Lo Barnechea, RM (Metropolitana)",5.000.000,,"0,21 UF/m²","0,16 UF/m²",800 m²,375 m²,5,4,1,,,,,,
292,Hermosa Casa Cerca Del Newland- Amoblada,Casa,Publicado hace 7 días,2021-07-01,"Camino De Los Ciervos 1200 - 1500, La Dehesa, Lo Barnechea, RM (Metropolitana)",4.000.000,,"0,14 UF/m²","0,16 UF/m²",1000 m²,340 m²,4,4,4,,,,,,
293,Casa Mediterranea En Condominio,Casa,Publicado hace 7 días,2021-07-01,"Camino Las Hualtatas 5100 - 5400, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.000.000,,"0,16 UF/m²","0,15 UF/m²",650 m²,260 m²,6,5,3,,,,,,
294,Hermosa Casa Con Jardín  ,Casa,Publicado hace 7 días,2021-07-01,"Pedro Lira Urquieta 10500 - 10800, Lo Barnechea, RM (Metropolitana)",2.500.000,,"0,07 UF/m²",,1300 m²,140 m²,3,4,5,,,,,,
295,Casa Condominio**colegio Craighouse** ..,Casa,Publicado hace 7 días,2021-07-01,"Avenida Paseo Pie Andino 9000 - 9300, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.200.000,,"0,11 UF/m²","0,15 UF/m²",1000 m²,300 m²,4,4,3,,,,,,
296,"Maravillosa Casa En Condominio Los Bravos, Gran Seguridad",Casa,Publicado hace 7 días,2021-07-01,"Paseo Los Bravos 3900 - 4200, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.680.000,,"0,16 UF/m²","0,16 UF/m²",800 m²,320 m²,4,5,5,,,,,,
297,***casa Mediterránea En Condominio *vista***..,Casa,Publicado hace 7 días,2021-07-01,"Camino Real 6300 - 6600, Los Trapenses, Lo Barnechea, RM (Metropolitana)",120,3.565.536,"0,1 UF/m²","0,11 UF/m²",1200 m²,310 m²,4,5,5,,,,,,
298,Hermosa Casa Inglesa -santuario Del Valle ,Casa,Publicado hace 7 días,2021-07-01,"Boulevard Jardín De Los Pájaros Sur 4500 - 4800, Los Trapenses, Lo Barnechea, RM (Metropolitana)",4.500.000,,"0,14 UF/m²","0,11 UF/m²",1058 m²,480 m²,6,5,5,,,,,,
299,Hermosa Casa En Condominio Amoblada,Casa,Publicado hace 7 días,2021-07-01,"Avenida La Dehesa 4200 - 4500, La Dehesa, Lo Barnechea, RM (Metropolitana)",3.800.000,,"0,19 UF/m²","0,15 UF/m²",675 m²,267 m²,5,5,1,,,,,,
300,Hermosa Casa En Mediterránea En  Condominio ,Casa,Publicado hace 7 días,2021-07-01,"Avenida La Dehesa 4200 - 4500, La Dehesa, Lo Barnechea, RM (Metropolitana)",95,2.822.716,"0,14 UF/m²","0,15 UF/m²",675 m²,267 m²,5,5,1,,,,,,
301,Maravillosa Casa En Condominio Los Bravos,Casa,Publicado hace 7 días,2021-07-01,"Avenida Paseo Pie Andino 7800 - 8100, Los Trapenses, Lo Barnechea, RM (Metropolitana)",120,3.565.536,"0,17 UF/m²","0,15 UF/m²",700 m²,240 m²,4,4,3,,,,,,
302,Acogedora Y Cómoda Casa Muy Bien Ubicada ,Casa,Publicado hace 7 días,2021-07-01,"Camino Del Oficio 3000 - 3300, Los Trapenses, Lo Barnechea, RM (Metropolitana)",2.800.000,,"0,16 UF/m²","0,14 UF/m²",600 m²,250 m²,4,3,1,,,,,,
303,Hermosa Casa Amoblada Muy Bien Ubicada,Casa,Publicado hace 7 días,2021-07-01,"Camino Del Oficio 3000 - 3300, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.200.000,,"0,18 UF/m²","0,14 UF/m²",600 m²,250 m²,4,3,1,,,,,,
304,Hermosa Casa,Casa,Publicado hace 7 días,2021-07-01,"Camino La Huala 7500 - 7800, Los Trapenses, Lo Barnechea, RM (Metropolitana)",120,3.565.536,"0,16 UF/m²","0,16 UF/m²",750 m²,330 m²,4,4,3,,,,,,
305,Maravillosa Vista***casa Mediterránea En Condominio,Casa,Publicado hace 7 días,2021-07-01,"Paseo Los Bravos 5700 - 6000, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.200.000,,"0,11 UF/m²",,1009 m²,275 m²,5,5,1,,,,,,
306,"Maravillosa Casa Mediterránea Nueva,  En Condominio",Casa,Publicado hace 7 días,2021-07-01,"Avenida La Dehesa 3600 - 3900, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.750.000,,"0,14 UF/m²","0,15 UF/m²",650 m²,206 m²,4,4,3,,,,,,
307,Hermosa Casa Mediterránea En Condominio ,Casa,Publicado hace 7 días,2021-07-01,"Paseo Los Bravos 3900 - 4200, Los Trapenses, Lo Barnechea, RM (Metropolitana)",100,2.971.280,"0,14 UF/m²","0,15 UF/m²",694 m²,260 m²,4,4,1,,,,,,
308,Maravillosa Casa Mediterránea En Condominio,Casa,Publicado hace 7 días,2021-07-01,"Avenida Felipe Cubillos Sigall 1500 - 1800, La Dehesa, Lo Barnechea, RM (Metropolitana)",3.800.000,,"0,16 UF/m²","0,16 UF/m²",800 m²,380 m²,5,5,3,,,,,,
309,Hermosa Casa Mediterránea ,Casa,Publicado hace 7 días,2021-07-01,"Pedro Lira Urquieta 10500 - 10800, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,1 UF/m²",,1200 m²,300 m²,4,4,,,,,,,
310,Casa Condominio La Huala,Casa,Publicado hace 7 días,2021-07-01,"La Huala 4800 - 5100, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.400.000,,"0,18 UF/m²","0,15 UF/m²",650 m²,285 m²,5,4,3,160000 CLP,,,,,
311,Casa En Condominio **colegio Monte Tabor**,Casa,Publicado hace 7 días,2021-07-01,"Avenida Los Litres 300 - 600, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.000.000,,"0,14 UF/m²","0,16 UF/m²",750 m²,330 m²,5,4,3,,,,,,
312,Espectacular Casa Mediterranea,Casa,Publicado hace 7 días,2021-07-01,"Paseo De Alcalá 10200 - 10500, Los Trapenses, Lo Barnechea, RM (Metropolitana)",160,4.754.048,"0,15 UF/m²","0,11 UF/m²",1100 m²,550 m²,6,6,,,,,,,
313,Excelente Casa En Condominio Cerrado-colegio Craighouse,Casa,Publicado hace 7 días,2021-07-01,"Avenida Paseo Pie Andino 9600 - 9900, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.000.000,,"0,1 UF/m²","0,16 UF/m²",995 m²,309 m²,4,4,3,,,,,,
314,Casa Mediterránea En Condominio Cerrado**santiago,Casa,Publicado hace 7 días,2021-07-01,"Camino Las Hualtatas 4200 - 4500, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.000.000,,"0,17 UF/m²","0,15 UF/m²",600 m²,280 m²,5,4,3,180000 CLP,,,,,
315,Condominio Los Failes -monte Tabor -santiago College,Casa,Publicado hace 7 días,2021-07-01,"Camino Las Hualtatas 5100 - 5400, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.200.000,,"0,17 UF/m²","0,15 UF/m²",650 m²,250 m²,4,4,3,,,,,,
316,Espectacular Casa En Condominio Golf Lomas De La Dehesa. ,Casa,Publicado hace 7 días,2021-07-01,"Golf Lomas De La Dehesa 9300 - 9600, La Dehesa, Lo Barnechea, RM (Metropolitana)",5.000.000,,"0,17 UF/m²","0,16 UF/m²",1000 m²,500 m²,6,5,,,,,,,
317,Excelente Casa Mediterránea En Condominio De Máxima,Casa,Publicado hace 7 días,2021-07-01,"El Golf De Manquehue 9600 - 9900, Los Trapenses, Lo Barnechea, RM (Metropolitana)",110,3.268.408,"0,12 UF/m²","0,15 UF/m²",900 m²,300 m²,4,4,3,,,,,,
318,"***casa Mediterranea **mall Los Trapenses , Santiago College",Casa,Publicado hace 7 días,2021-07-01,"Valle Paraíso 10500 - 10800, Los Trapenses, Lo Barnechea, RM (Metropolitana)",110,3.268.408,"0,14 UF/m²","0,15 UF/m²",800 m²,300 m²,4,4,4,,,,,,
319,Muy Bonita Casa Mediterránea Con Espectacular Vista,Casa,Publicado hace 7 días,2021-07-01,"Camino Del Altar 4500 - 4800, El Huinganal, Lo Barnechea, RM (Metropolitana)",2.400.000,,"0,12 UF/m²","0,15 UF/m²",700 m²,300 m²,4,4,3,,,,,,
320,Arriendo / Camino Los Refugios Del Arrayan,Casa,Publicado hace 7 días,2021-07-01,"Camino Los Refugios Del Arrayan 17700 - 18000, El Arrayán, Lo Barnechea, RM (Metropolitana)",3.000.000,,"0,01 UF/m²","0,11 UF/m²",10000 m²,743 m²,9,8,,,,,,,
321,Camino Gran Vista / Punta De Aguilas ,Casa,Publicado hace 7 días,2021-07-01,"Camino Gran Vista 4200 - 4500, Los Trapenses, Lo Barnechea, RM (Metropolitana)",109,3.238.695,"0,1 UF/m²","0,11 UF/m²",1094 m²,450 m²,6,7,5,,,,,,
322,Hermosa Gran Casa,Casa,Publicado hace 6 días,2021-07-01,"Panorámica Sur 12000 - 12300, La Dehesa, Lo Barnechea, RM (Metropolitana)",4.400.000,,"0,1 UF/m²","0,11 UF/m²",1500 m²,600 m²,8,8,,,,,,,
323,Casa Mediterranea Cercana A Santiago College,Casa,Publicado hace 6 días,2021-07-01,"Camino Los Trapenses 3900 - 4200, Los Trapenses, Lo Barnechea, RM (Metropolitana)",110,3.268.408,"0,14 UF/m²","0,15 UF/m²",800 m²,300 m²,5,5,4,,,,,,
324,Se Arrienda Casa Camino El Yunque.,Casa,Publicado hace 5 días,2021-07-01,"Camino Del Yunque 15600 - 15900, El Huinganal, Lo Barnechea, RM (Metropolitana)",2.000.000,,"0,07 UF/m²",,1020 m²,230 m²,5,4,2,,,,,,
325,Estupenda Casa Mediterránea En La Dehesa,Casa,Publicado hace 2 días,2021-07-01,"Camino Las Hualtatas 4800 - 5100, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,16 UF/m²","0,15 UF/m²",700 m²,250 m²,5,5,3,,,,,,
326,Valle Del Monasterio,Casa,Publicado hace 1 día,2021-07-01,"Valle Del Monasterio, Los Trapenses, Lo Barnechea, RM (Metropolitana)",2.300.000,,"0,14 UF/m²","0,15 UF/m²",570 m²,240 m²,5,4,2,,,,,,
327,Espectacular Casa A Pasos Colegio Newland ,Casa,Publicado hace 1 día,2021-07-01,"Santa Blanca 1200 - 1500, La Dehesa, Lo Barnechea, RM (Metropolitana)",105,3.119.844,"0,1 UF/m²",,1100 m²,350 m²,4,3,,,,,,,
328,Casa 3 Pisos Sector Mall Sport ,Casa,Publicado hace 1 día,2021-07-01,"Monseñor Escriba Balaguer 14100 - 14400, La Dehesa, Lo Barnechea, RM (Metropolitana)",1.200.000,,"0,2 UF/m²",,200 m²,160 m²,4,3,1,,,,,,
329,Condominio Valle Escondido,Casa,Publicado hace 1 día,2021-07-01,"Sendero La Laguna 2700 - 3000, El Huinganal, Lo Barnechea, RM (Metropolitana)",6.500.000,,"0,12 UF/m²","0,11 UF/m²",1800 m²,950 m²,7,6,4,19 CLP,,,,,
330,Se Arrienda Casa En El Golf De Manquehue,Casa,Publicado hace 1 día,2021-07-01,"El Golf De Manquehue 9300 - 9600, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,1 UF/m²","0,11 UF/m²",1202 m²,594 m²,6,6,,,,,,,
331,Casa Mediterranea En Condominio Con Piscina Y Quincho,Casa,Publicado hace 1 día,2021-07-01,"Avenida Paseo Pie Andino 6300 - 6600, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,18 UF/m²","0,16 UF/m²",670 m²,315 m²,5,5,,150000 CLP,,,,,
332,Casa Mediterranea En Condominio Con Piscina Y Quincho,Casa,Publicado hace 1 día,2021-07-01,"Avenida Paseo Pie Andino 6300 - 6600, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,18 UF/m²","0,16 UF/m²",670 m²,315 m²,5,5,,150000 CLP,,,,,
333,"Disponible A Partir De Agosto, Valle Paraíso, Los",Casa,Publicado hace 1 día,2021-07-01,"Valle Paraíso 1200 - 1500, Los Trapenses, Lo Barnechea, RM (Metropolitana)",105,3.119.844,"0,13 UF/m²","0,15 UF/m²",800 m²,300 m²,4,5,,,,,,,
334,Depto Interior En Plena Avenida Macul,Casa,Publicado hace 49 días,2021-07-01,"Víctor Domingo Silva 3900 - 4200, Villa Macul, Macul, RM (Metropolitana)",340.000,,"0,14 UF/m²",,80 m²,37 m²,1,1,,,,,,,
335,Psje Colibri / Portales / Tres Poniente,Casa,Publicado hace 3 meses,2021-07-01,"Psje Colibri / Portales / Tres Poniente, Hospital El Carmen de Maipú, Maipú, RM (Metropolitana)",750.000,,"0,18 UF/m²",,140 m²,140 m²,4,2,2,,,,,,
336,Monumento 1636,Casa,Publicado hace 3 meses,2021-07-01,"Monumento 1636, Plaza de Maipú, Maipú, RM (Metropolitana)",800.000,,"0,27 UF/m²",,100 m²,76 m²,3,1,1,,,,,,
337,Se Arrienda Casa En Maipú Pero Solo Con Compromiso De,Casa,Publicado hace 23 días,2021-07-01,"Aurora Mira 4800 - 5100, Metro Las Parcelas, Maipú, RM (Metropolitana)",450.000,,"0,09 UF/m²",,180 m²,54 m²,2,1,1,,,,,,
338,"Arriendo Ciudad Satélite, Maipú",Casa,Publicado hace 23 días,2021-07-01,"Francisco Coloana 10200 - 10500, Plaza de Maipú, Maipú, RM (Metropolitana)",600.000,,"0,2 UF/m²",,100 m²,75 m²,3,2,1,25000 CLP,,,,,
339,Arriendo Oficina Planta Libre De 42 M2 Con Estacionamiento.,Casa,Publicado hace 16 días,2021-07-01,"Los Pajaritos 3000 - 3300, Plaza de Maipú, Maipú, RM (Metropolitana)",16,490.261,"0,39 UF/m²",,42 m²,42 m²,1,1,1,,,,,,
340,Viva Propiedades Arrienda !! Casa Muy Central.,Casa,Publicado hace 15 días,2021-07-01,"Libertad 1 - 300, Maipú, RM (Metropolitana)",1.900.000,,"0,13 UF/m²",,500 m²,158 m²,4,3,3,,,,,,
341,Se Arrienda Casa En Comuna De Maipu,Casa,Publicado hace 2 días,2021-07-01,"Los Conquistadores 300 - 600, Avenida Lumen, Maipú, RM (Metropolitana)",430.000,,"0,12 UF/m²",,120 m²,60 m²,2,1,1,,,,,,
342,"Casa Dos Pisos, Lumaco, El Abrazo De Maipu",Casa,Publicado hace 1 día,2021-07-01,"Calle Lumaco 16200 - 16500, Maipú, RM (Metropolitana)",300.000,,"0,15 UF/m²",,70 m²,50 m²,2,1,1,,,,,,
343,Sucre / Miguel Claro,Casa,Publicado hace 1 año,2021-07-01,"Sucre / Miguel Claro, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",1.500.000,,"0,12 UF/m²",,420 m²,200 m²,4,2,,,,,,,
344,Avenida Italia 1606,Casa,Publicado hace 5 meses,2021-07-01,"Avenida Italia 1606, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",3.000.000,,"0,34 UF/m²",,300 m²,260 m²,2,2,,,,,,,
345,Casa Con Mucho Terreno En Ñuñoa,Casa,Publicado hace 1 año,2021-07-01,"Carmen Covarrubias 300 - 600, Estadio Nacional, Ñuñoa, RM (Metropolitana)",1.850.000,,"0,11 UF/m²",,560 m²,160 m²,4,4,,,,,,,
346,Espectacular Casa Con Amplio Terreno,Casa,Publicado hace 6 meses,2021-07-01,"Espectacular Casa Con Amplio Terreno, Diego de Almagro, Ñuñoa, RM (Metropolitana)",1.700.000,,"0,1 UF/m²",,560 m²,150 m²,4,2,,,,,,,
347,"Brown Sur / Irarrazabal  , Cercano A Plaza Ñuñoa",Casa,Publicado hace 1 día,2021-07-01,"Brown Sur 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",1.500.000,,"0,07 UF/m²",,680 m²,217 m²,6,4,8,,30 años,,,,
348,"Brown Sur / Irarrazabal  , Cercano A Plaza Ñuñoa",Casa,Publicado hace 1 día,2021-07-01,"Brown Sur 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",1.500.000,,"0,07 UF/m²",,680 m²,217 m²,6,4,8,,30 años,,,,
349,Hernán Cortés / Lautaro Ferrer,Casa,Publicado hace 3 meses,2021-07-01,"Hernán Cortés / Lautaro Ferrer, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",70,2.079.896,"0,13 UF/m²",,540 m²,130 m²,5,3,3,,,,,,
350,Dublé Almeyda / José Pedro Alessandri,Casa,Publicado hace 3 meses,2021-07-01,"Dublé Almeyda / José Pedro Alessandri, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",1.650.000,,"0,17 UF/m²",,328 m²,212 m²,5,3,2,,,,,,
351,Cresente Errázuriz - Av. Grecia,Casa,Publicado hace 2 meses,2021-07-01,"Cresente Errázuriz - Av. Grecia, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",52,1.545.065,"0,1 UF/m²",,531 m²,140 m²,4,3,8,,,,,,
352,Los Aliagas / Metro Villa Frei- 3d 2b,Casa,Publicado hace 2 meses,2021-07-01,"Los Aliagas / Metro Villa Frei- 3d 2b, Diagonal Oriente, Ñuñoa, RM (Metropolitana)",870.000,,"0,28 UF/m²",,105 m²,70 m²,3,2,1,,,,,,
353,Antonio Varas / Sucre,Casa,Publicado hace 2 meses,2021-07-01,"Antonio Varas / Sucre, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",170,5.051.176,"0,34 UF/m²",,500 m²,350 m²,12,4,6,,,,,,
354,Gran  Propiedad Comercial En El Mejor Ligar De Ñuñoa,Casa,Publicado hace 58 días,2021-07-01,"Ángel Pino 47, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",2.000.000,,"0,28 UF/m²",,240 m²,300 m²,9,5,2,,,,,,
355,Casa En Arriendo Con Giro Comercial,Casa,Publicado hace 42 días,2021-07-01,"Alcalde Eduardo Castillo Velasco 1800 - 2100, Estadio Nacional, Ñuñoa, RM (Metropolitana)",1.400.000,,"0,16 UF/m²",,300 m²,225 m²,5,4,3,,,,,,
356,A Pasos De Pedro De Valdiva E Irarrazabl,Casa,Publicado hace 39 días,2021-07-01,"Alvaro Puga 2400 - 2700, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",3.000.000,,"0,39 UF/m²",,257 m²,134 m²,3,2,,,,,,,
357,Arriendo Comercial ,Casa,Publicado hace 38 días,2021-07-01,"Duble Almeyda 1506, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",1.500.000,,"0,16 UF/m²",,320 m²,235 m²,8,3,12,,,,,,
358,Casa Estilo Mediterranea  En Exclusivo Sector De Ñuñoa,Casa,Publicado hace 30 días,2021-07-01,"Alcázar 4200 - 4500, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",1.900.000,,"0,2 UF/m²",,315 m²,177 m²,4,4,3,,,,,,
359,Casa Comercial - Oficina - Uso Profesional - Metro Ñuñoa,Casa,Publicado hace 16 días,2021-07-01,"Capitán Orella 2304, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",1.300.000,,"0,19 UF/m²",,230 m²,160 m²,5,3,2,,,,,,
360," Hermoso Y Amplio Estudio, A Pasos De Metro Irarrazabal,  ",Casa,Publicado hace 16 días,2021-07-01,"Irarrázaval 1 - 300, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",320.000,,"0,26 UF/m²",,41 m²,30 m²,1,1,,,,,,,
